,job title,company name,job description
48,Data Science Analyst,American Heart Association,"OverviewNow is the time to join us and make a difference. Be a relentless force for a world of longer, healthier lives. Here at the American Heart Association, you matter and so does your career.The American Heart Association has an excellent opportunity for a Data Science Analyst based out of our National Center office located in Dallas, TX! (flexible work arrangements are available)This position provides opportunities to work with a dedicated team of computational engineers and data scientists to participate in the complete life cycle of analytics and experimental investigations to support product development. The position is responsible for working independently to develop analysis plans and apply advanced biostatistical methods to conduct analyses with clinical variables. You will collaborate with Amazon, Deloitte, Verily and other external alliances as well as subject matter experts. A background in working with real world data including clinical variables such as electronic health record data is preferred.The Association offers many resources to help you maintain work-life harmonization through your changing needs and life situations. To help you be successful, you will have access to Heart U, our award-winning corporate university, as well as training and support locally and through our National Center.\#TheAHALife is our company culture, our way of life, reflecting our diversity and inclusion, our focus on work-life harmonization and our Guiding Values. Discover why you will Be Seen. Be Heard. Be Valued™ at the American Heart Association by following us on LinkedIn, Instagram, Facebook, Twitter, and at heart.org.ResponsibilitiesEssential Job DutiesApply advanced research and statistical methods including AI and ML to conduct analysesManage, standardize, and harmonize large clinical datasets (real world data) from American Heart Association registries as well as other large datasets – and automate processes for quality controlSolve unique and sophisticated problems to support product development, analytics, and data managementAssist in further developing SQL database to manage all large clinical datasets in AWS cloud environmentPublish research and present at scientific meetingsResearches, identifies, and develops new or improvements to existing data, decision support tools or business intelligence-based products, programs, or services. Identifies required changes to the data platform, develops specifications or requirements, reviews vendor deliverables, and evaluates customer acceptance. Ensures product improvements meet interoperability, harmonization and sustainability.Proficient to excellent in coding skills including R and PythonKnowledge and experience with clinical, lab, and epidemiological dataProvides experience in cloud-based workspaces/platformsUser-interface and web development skills are an added plusFacilitates vendor alignment or internal integration of data related platforms and clinical decision support tools to provide clients with additional opportunities to benefit from American Heart Association's data repository.QualificationsMinimum QualificationsRequires practical knowledge of job area typically acquired through advanced education combined with experience.Minimum of 3 years prior related experience programming, harmonizing and analyzing healthcare dataProficient in R and Python programmingCompensation & BenefitsThe American Heart Association invests in its people. Here are the main components of our total rewards package. Visit Rewards & Benefits to see more details.Compensation – Our goal is to ensure you have a competitive base salary. That’s why we regularly review the market value of jobs and make adjustments, as needed.Performance and Recognition – You are rewarded for achieving success by merit increases and incentive programs, based on the type of position.Benefits – We offer a wide array of benefits including medical, dental, vision, disability, and life insurance, along with a robust retirement program that includes an employer match and automatic contribution. As a mark of our commitment to employee well-being, we also offer an employee assistance program, employee wellness program and telemedicine, and medical consultation.Professional Development – You can join one of our many Employee Resource Groups (ERG) or be a mentor/mentee in our professional mentoring program. HeartU is the Association’s national online university, with more than 100,000 resources designed to meet your needs and busy schedule.Work-Life Harmonization – The Association offers Paid Time Off (PTO) at a minimum of 16 days per year for new employees. The number of days will increase based on seniority level. You will also have a total of 12 paid holidays off each year, which includes several days off at the end of the year.The American Heart Association’s 2024 Goal: Every person deserves the opportunity for a full, healthy life. As champions for health equity, by 2024, the American Heart Association will advance cardiovascular health for all, including identifying and removing barriers to health care access and quality.At American Heart Association | American Stroke Association, diversity, inclusion, and equal opportunity applies to both our workforce and the communities we serve as it relates to heart health and stroke prevention.This position not a match with your skills? Click here to see other opportunities.EOE/Protected Veterans/Persons with DisabilitiesLocation US-TX-DallasPosted Date 2 months ago (11/29/2022 3:32 PM)Requisition ID 2022-9452Job Category Science & ResearchAdditional Locations Diversity Distribution US - Top 57Position Type Full TimeLocation: OH-CincinnatiShow moreShow less"
49,Entry Informatics Analyst,Medpace,"Job SummaryThe Feasibility & Proposals department is looking for qualified analysts to support our Informatics Team in our Cincinnati office. The informatics team utilizes informatics principles and techniques to architect, mine, analyze, and visualize clinical trial data to inform study design choices for pharmaceutical development. Feasibility Informatics Analysts create compelling visualizations and recruitment models to support proposal feasibility strategies and ad hoc analytical projects.The Informatics Team is a highly collaborative team with members in both the Cincinnati and London offices. This team supports clinical operation, medical, and feasibility teams with advanced data query and analysis. The Informatics Team also works side-by-side business analytics and software engineering to architecture innovative data storage and access solutions for optimal data utilization strategies. If you are an individual with a background or interest in data science, statistics or epidemiology, please review the following career opportunity.Responsibilities Evaluate data needs for assigned projects and make recommendations on strategic approach specific to the study design and opportunity specifics;Perform comprehensive review of data sources to deliver high quality informatics data and analysis to teams;Work alongside global feasibility leads to contribute to proposal strategy for site and country selection based on available data;Translate the results of feasibility research and analysis into compelling data visualizations which illustrate the overall feasibility strategy including enrollment modeling;Design and implement database architecture plans and perform custom queries for methodological and clinical data sources;Perform development and review of proposal text;Assist project teams with preparation for bid defense meetings; andSupport departmental process improvement initiatives. Qualifications Bachelor’s, or Master’s degree in informatics, computer science/engineering, biomedical engineering, health information, statistics, or related field;Analytical thinker with great attention to detail;Ability to prioritize multiple projects and tasks within tight timelines;Excellent written and verbal communication skills;1-2 years of clinical research experience is preferred; and Computer programming experience for data queries, database structure, and/or statistical analysis (preferred language: R)Medpace OverviewMedpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing more than 5,000 people across 40+ countries. Why Medpace? People. Purpose. Passion. Make a Difference Tomorrow. Join TodayThe work we’ve done over the past 30 years has positively impacted the lives of countless patients and families who face hundreds of diseases across all key therapeutic areas. The work we do today will improve the lives of people living with illness and disease in the future. Medpace Celebrates 30 Years As we celebrate 3 decades of industry expertise and organic growth, we recognize the global team responsible for driving clinical development at Medpace. Click here to learn more about Medpace Celebrating 30 Years. Cincinnati PerksCincinnati Campus OverviewHybrid work-from-home options (dependent upon position and level)Competitive PTO packages, starting at 20+ daysFlexible work hoursDiscounted tuition for UC online programsCompany-sponsored employee appreciation eventsEmployee health and wellness initiativesCommunity involvement with local nonprofit organizationsCompetitive compensation and benefits packageStructured career paths with opportunities for professional growthPartnership and discount with onsite childcareDiscounted tuition for UC online programsDiscounts on local sports games, local fitness gyms and attractions Official Sponsor of FC CincinnatiModern, ecofriendly campus with an on-site fitness center, bar, and restaurants Awards Recognized by Forbes as one of America's Best Mid-size Companies in 2021 and 2022Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility What To Expect NextA Medpace team member will review your qualifications and, if interested, you will be contacted with details for next steps.Show moreShow less"
50,Senior Data Analyst,Epsilon,"Job DescriptionThe Analytic Consulting Group partners with internal and external clients and data providers, leveraging predictive analytics and advanced statistical techniques to drive strategic thought and effective decision making. The Senior Data Analyst helps support all aspects of analytic initiatives from conception to completion.ResponsibilitiesProvide SAS/SQL programming, under general direction, in the execution of data analysis that will contribute to the final project deliverablesAppropriately account for the timeliness and quality of all assignmentsCollaborate with internal and external stakeholders to manage data logistics - including data transfers, understanding data structures, business rules, etc. - to enable project executionQA/QC data and report output to ensure accuracyAssist in development of reports, providing content and writing of key observationsParticipate in presentation of reports to key internal and external stakeholders, effectively communicating the key findings and recommendationsManage multiple projects concurrentlyPrioritize and monitor project progress relative to timeline and scopeMinimum QualificationsBachelor or Master’s degree in a quantitative discipline (statistics, economics, mathematics, marketing analytics)Minimum 2 years of experience in marketing analytics fieldProficient in SAS/SQL; minimum 3 years’ experienceProficient in MS Office, including PowerPoint, Word, Excel and OutlookSolid planning, priority setting, and project management skills with experience managing multiple projects concurrentlyExcellent verbal and written communication skillsSuccessful developing relationships within and across functional teams (including statistical, technical, and marketing resources)Strong technical skillsDesirable QualificationsAdvanced degree (Master’s/PhD) in Statistics, Economics or other quantitative disciplineAbility to display data visually, creating powerful presentations which effectively demonstrate the value of analytic deliverables; proficiency with business visualization tools (e.g., interactive dashboard software)Ability to program in newer and emerging languages such as R and Python; working knowledge of Hadoop and other big data technologiesAdditional InformationWhen you’re one of us, you get to run with the best. For decades, we’ve been helping marketers from the world’s top brands personalize experiences for millions of people with our cutting-edge technology, solutions and services. Epsilon’s best-in-class identity gives brands a clear, privacy-safe view of their customers, which they can use across our suite of digital media, messaging and loyalty solutions. We process 400+ billion consumer actions each day and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon has been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Positioned at the core of Publicis Groupe, Epsilon is a global company with more than 8,000 employees around the world. Check out a few of these resources to learn more about what makes Epsilon so EPICCulture https //www.epsilon.com/us/about-us/our-culture-epsilonDE&I https //www.epsilon.com/us/about-us/diversity-equity-inclusionCSR https //www.epsilon.com/us/about-us/corporate-social-responsibilityLife at Epsilon https //www.epsilon.com/us/about-us/epic-blogGreat People Deserve Great BenefitsWe know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.Epsilon is an Equal Opportunity Employer. Epsilon’s policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.Epsilon will provide accommodations to applicants needing accommodations to complete the application process.REF174158QShow moreShow less"
51,Data Analyst,Eliassen Group,"3 month contract to hireNo H1BOn-site - Cincinnati, OhioJob DescriptionEnterprise Informaton Maangement is part of IT Business Solutions. EIM drives end-to-end delivery and maintenance of data solutions. Our Solutions include Analytics data platforms, MDM, Data Quality, Metadata management, Data governance tools and upcoming solutions for supporting Data Landscape growing needs. Our Data practices comprises of Requirement Analysis, Data Modeling, Data Engineering, Enterprise Reporting and Testing. We ensure integrity of data for business operations and decision making.We are looking for a Data test specialist to support our specialty clients team. Candidate must be a seasoned IT system tester with experience in Property & Casualty business and data testing. You will oversee the end to end testing, importing data from insurance partners into our client’s system for monitoring and reporting. This includes integrating partner information with our claims system, agency management system, earnings system, and reporting systems.Work with other analysts, technical leads, system testing and/or IT managers to produce project estimates for IT effortsConduct requirement gathering and gap analysis activities for IT projects and relevant maintenance and support initiativesCreate business requirements, functional requirements, and data mapping documents as required for projects and / or production support.Track, manage, and report issues and scope changes on small maintenance effortsIdentify continuous process improvement opportunities and operationalize solutions for sameCreate and maintain relevant documentation for software changes to ensure long-term maintainabilityFollow established guidelines and processes for project methodologies - MRessentialsShow moreShow less"
52,Associate Machine Learning Research Engineer,University of Dayton,"Position SummaryUDRI is looking for an Associate Machine Learning Research Engineer to join the SPIRE group. You will contribute to a growing team responsible for cutting-edge technology and enhancing artificial intelligence, autonomy and data exploitation capabilities and effectiveness.An ideal candidate for this role will be excited at the prospect of implementing state of the art machine learning techniques, specifically in the area of reinforcement learning to reveal new insights and research new applications. Past experience with these topics, either academic or professional, is beneficial. However, as this is an entry level position in a relatively new and fast growing field, emphasis is placed on enthusiastic, self-starting individuals that are passionate about learning and growing in this technical domain.Minimum Qualifications Bachelor's degree Due to the nature of this position, US. Citizenship is required Successful experience (academic or professional) programming in Python Knowledge of data structures Enthusiastic, motived, self-starting individual with a willingness to learn new skillsPreferred QualificationsWhile not everyone may possess all of the preferred qualifications, the ideal candidate will bring many of the following: Master's degree (or higher) in Electrical Engineering, Computer Engineering, Computer Science or related field Demonstrated, effective interpersonal skills Familiarity or experience (academic or professional) with: 3.1. Software and/or algorithm development in Python 3.2. Artificial intelligence and/or autonomous systems 3.3. Machine/deep learning techniques 3.4. Reinforcement learning techniques 3.5. Source code version control systems such as Git, Subversion, or similar 3.6. Working in Linux environmentsSpecial Instructions To ApplicantsTo apply please submit a cover letter addressing each minimum qualification and applicable preferred qualifications that you meet.A federal court on December 7, 2021, issued a ruling that suspends the COVID-19 vaccine requirement that applies to federal contractors nationwide. With this development, the University will pause any enforcement action against employees who have not complied with the requirement to be fully vaccinated by Dec. 8, 2021 or to have requested an exemption to maintain their employment status.The University will continue to monitor the state of the pandemic on campus and in the community as well as developments in federal and state requirements, and also will continue to regularly consult with public health officials and our medical panel. As has been the case throughout the pandemic, our protocols and requirements are subject to change depending on conditions on campus or in our community, and government requirements.Closing StatementInformed by its Catholic and Marianist mission, the University is committed to the principles of diversity, equity, and inclusion. Informed by this commitment, we seek to increase diversity, achieve equitable outcomes, and model inclusion across our campus community. As an Affirmative Action and Equal Opportunity Employer, we will not discriminate against minorities, women, protected veterans, individuals with disabilities, or on the basis of race, color, national origin, religion, sex, sexual orientation or gender identity.Show moreShow less"
53,Data Analytics Support Specialist,Surge Staffing,"OverviewA Data Analytics Support Specialist seeks out and defines data from various sources and assists the Data Analytics Team with interpreting data, mapping data sources and assists in turning data into information which can offer ways to improve a business, thus affecting business decisions. The Data Analytics Support Specialist gathers information from various sources via various tools and methods and helps interpret patterns and trends. Once data has been gathered and interpreted, the Data Analytics Support Specialist will report back what has been found in a comprehensive study to the wider business/relevant colleagues via various published formats of reports or filters on existing reports.This is a full-time (Monday - Friday) On-Site position that is located at our HQ office in Columbus OH.Surge is a national leader with over 50 years of experience providing quality staffing and innovative workforce solutions. We take priority in building personal, long-term partnerships with our clients, and ensuring that each placement is the right fit. We are unlike other staffing agencies in that we take the time to get to know your company and its goals. Our national network has connected more than 122,000 employees on an annual basis and growing.Primary Functions & ResponsibilitiesCollecting, consolidating, and analyzing financial data, taking into account company’s goals and financial standingMapping data sources for future usageGathering, assembling, and summarizing data to structure sophisticated reports on financial status and risksSupport the development of financial organizational strategies by contributing information, analysis, and recommendations; establishing functional objectives in line with organizational objectivesSupports the establishment of financial operational strategies by evaluating trends; establishing critical measurements; determining production, productivity, quality, and customer-service data; designing data systems; accumulating resources; resolving problems; implementing changeSupport the development organization by analyzing organization operations; identifying opportunities for improvement, cost reduction, and systems enhancement.Additional duties as assignedQualificationsPreferred: A bachelor’s degree in Mathematics, Computer Science, Statistics or Economics and/or equivalent work experience2+ years progressive experience with MS SQLManage stakeholder relationships within one or more business areas by spending routine time with designated business parties to understand their needs.Understand Core tenants of Relational Database Management Systems (RDBMS) principles, processes, technologies and tools including management.2 years of analyzing datasets and comprehensive reportingExperience with database access and documentationAbility to analyze large datasetsStrong verbal and written skillsAn analytical mind and inclination for problem solvingAttention to detailDefining new data collection and analysis processesAbility to develop new skills needed for the required dutiesAbility to analyze and evaluate people, data, and things to determine courses of actionAbility to effectively and tactfully deal with peopleAbility to shift back and forth between two or more tasks or projectsAbility to understand and accurately apply basic math skillsAbility to make competent use of work-related equipment and materialsAbility to access areas where needed people, information or equipment are locatedAbility to produce results and have the flexibility to identify and respond to changes in prioritiesEqual Opportunity Employer Surge is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, national origin, veteran status, genetic information, or any other status protected by law. Surge is committed to providing access, equal opportunity, and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, contact Human Resources at ProfessionalStaffing@surgestaffing.comJob Type: Full-TimeSurge is a national leader with over 50 years of experience providing quality staffing and innovative workforce solutions. We take priority in building personal, long-term partnerships with our clients, and ensuring that each placement is the right fit. We are unlike other staffing agencies in that we take the time to get to know your company and its goals. Our national network has connected more than 122,000 employees on an annual basis and growing.Show moreShow less"
54,Data Scientist / Statistician Intern (BS/MS/PhD Students),The Lubrizol Corporation,"92303The Lubrizol Corporation, a Berkshire Hathaway company, is a market-driven global company serving customers in more than 100 countries. We own and operate manufacturing facilities in 17 countries, as well as sales and technical offices around the world. Through our global sales and manufacturing networks, we are able to deliver the products and services our customers need, where and when they need them.At Lubrizol, our mission is straightforward: We improve lives as an essential partner in our customers’ success, delivering efficiency, reliability or wellness to their end users. Read the cover story in Smart Business Magazine to learn how Lubrizol plans to advance its growth.Data Scientist / Statistician Intern (BS/MS/PhD Students)Who are we?Lubrizol is an innovative specialty chemical company, owned by Berkshire Hathaway, with technologies that improve the performance of our customers’ products in the global transportation, industrial and consumer markets. At Lubrizol, our mission is straightforward: We improve lives as an essential partner in our customers’ success, delivering efficiency, reliability or wellness to their end users. What does that mean in the real world? Fewer emissions for cleaner air. A smoother, safer drive. Great looking hair. Fibers that breathe and coatings that stay bright. Safer, more comfortable patient care. And that is just to name a few. We’re always looking for ways to make the best better.The Statistics & Data Analytics TeamOperating like a start-up company, but with the backing of a large corporation, this empowered and agile team is charged with creating analytics systems that enable highly effective product development via virtual experimentation, optimization and knowledge discovery. In addition, the team provides data science consulting services to the Lubrizol technical community throughout the world.We are actively recruiting Data Scientist/Statistician Summer interns for 2023. Opportunities are available for students pursuing their Bachelors, Masters, or PhD degrees in relevant areas of study.Potential projects (depending on intern skills and current Lubrizol needs):Create predictive models by mining complex data for critical formulating or testing insights Implement and assess algorithms in R, Python, SAS, JMP or C#/C++ Research and implement new statistical, machine learning and/or optimization approaches (PhD level)Collaborate with data science team, as well as, scientists and engineers, to understand their needs, and find creative solutions to meet those needs Previous Intern Projects IncludePredictive modeling using Bayesian and machine learning methods R/Shiny tool development to enable model predictions and formulation optimization Creation of an interactive visualization tool for monitoring predictive models Multitask learning (transfer learning) using co-regionalized Gaussian Processes (PhD level)Multi-objective optimization using genetic algorithms (PhD level)Survival modeling using bagged Cox proportional hazards regression trees (PhD level)Bootstrap variance estimation for complex nonlinear models (PhD level)What tools do you need for success?Enrolled in a Bachelors, Masters or PhD program such as statistics, data analytics, machine learningExcellent programming skills with the ability to learn new methods quicklyExposure to database systems and the ability to efficiently manipulate complex data (BS/MS level)Interest and experience in advanced statistical modeling/machine learning methods (PhD level)Coursework in statistical modeling and data mining methodsCuriosity and creativityPlease Note: This role may be remote within our operating footprint.#LIHybridWhile headquartered in the United States, Lubrizol is truly a global specialty chemical company. We have a major presence in five global regions and do business in more than 100 countries. Our corporate culture ensures that Lubrizol is one company throughout the world, but you will find each region is a unique place to work, live and play.Lubrizol is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to sex, race, color, national origin, citizenship, age, religion, marital status, military service, sexual orientation, genetic information, gender identity, or any other characteristic or trait protected by federal, state, or local law.Show moreShow less"
55,Data Analyst,Diverse Lynx,"Job DescriptionTitle : Data AnalystLocation : Columbus OHType : Full-time Be part of an Agile software development for a full stack data analytics system Derive statistics-based decision-making algorithms using Python/R, or Matlab Design, develop, and test data analysis and visualization applications in Python Proficiency in Data Analysis using modern data analytics tool preferably in distributed computing and cloud environment Proficiency in Source to Target Data Mappings Proficient in developing and automating data transfer via interfaces Tune data engineering processes for optimal performance and maintainability Understand the analytic needs, preferably of Property and Commercial Insurance business and translate these into meaningful and actionable data visualizations Nice to have :Python, Spark SQLDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.Show moreShow less"
56,Data Scientist (Predictive Modeler – Pricing),Burtch Works,"Job Description: Data Scientist (Predictive Modeler – Pricing)**W2 ONLY****Compensation ranges between $110,000 to $125,000 annually, depending on experience**I have an immediate need for a Data Scientist / Predictive Modeler with a client in Cincinnati, OH.This is a HYBRID position requiring 50% onsite and 50% remote. THEY WILL PROVIDE A RELOCATION PACKAGE FOR THOSE NOT LOCAL TO THE CINCINNATI AREA.The client is open to doing either a DIRECT HIRE / FULL TIME or a 9 month contract to permanent hire. Their ideal W2 hourly rate ranges between $55 to $65 per hour, depending on experience. The conversion salary or direct hire salary range is $110-125K with a 5-10% annual bonus. The candidate can choose which route they would prefer.Main Points:Minimum Masters degree with 2+ years of INDUSTRY experience (this does not include projects)Programming Language: (Python, R, and/or SAS)Predictive modeling experienceStrong statistical modeling experiencePricing experience is highly preferred but not requiredFinance industry experience is a big nice to have but not requiredIf qualified and interested, please apply with an updated version of your resume (MS Word or PDF).Show moreShow less"
57,Data Quality Scientist,Deep Lens,"Helping match patients to clinical trials fasterDeep Lens is a digital healthcare company focused on a groundbreaking approach to faster recruitment of the best-suited cancer patients to clinical trials. Through an innovative mix of technology and services, Deep Lens aims to compress clinical trial study timelines for clients allowing them to bring novel ground-breaking therapies to market faster.We are a highly collaborative team and lean on the collective experience of each and every team member to move quickly as we build software and services that meet the needs of our customers.Job DescriptionIn this role, you will own the statistical and analytical methodologies to assess the quality of data that is available in our regulatory grade data platform.You will design a framework for measuring the data quality of all fundamental data elements in our regulatory grade platform by building upon existing standards like FAIRTM principles, OHDSI Data Quality Dashboard, pivotal data science and informatics publications, and FDA's guidance for use of EHR data for regulatory decision making. You will also implement the above framework in collaboration with engineers and product managers to enable automated assessment and tracking of data quality. You will be involved in end-to-end data quality assessments from profiling the input data sources all the way to assessing fitness of the data coming out of the regulatory grade platform for each use case.ResponsibilitiesDesign a framework for measuring the data quality of all fundamental data elements in our regulatory grade platformImplement the above framework collaboratively with engineers and product managersDefine fitness for use thresholds for each type of data use case - business, research or regulatoryGrade each data set before it is released for the end-user (analyst, researcher, scientist, investigator, clinical research coordinator) based on fitness for use caseCreate and maintain a library of data quality tests for various applications of the data platformFollow and cultivate data science best practices like double validation, code reviews, precision and scale tracking of various algorithms, unit testing, code versioning and impact analysis before promoting to productionFollow and cultivate the highest degree of statistical rigor in data representativeness tests, sampling methods, feasibility studies and fit for use case assessmentsProactively document code, release notes and decisionsBasic RequirementsMasters in data science, biostatistics, epidemiology or a related field and 5 years of relevant work experience or Bachelors and equivalent work experience. Comfortable working in a collaborative, interdisciplinary, agile development environment alongside clinicians, product managers, informaticians and engineersProficient in at least one query language like Python, SQL, PySpark, R and able to pick up a new query language easily if requiredExceptional statistical modeling, analytical and logical reasoning skillsAbility to write statistical and logical functions that can be integrated into software codeDeep understanding of clinical data especially observational research data sets like OMOP, PCORnet, i2b2, Sentinel CDMGreat sense of data intuition for filtering out noise, defining censoring rules, going through exercises like source of truth determination, or modeling logical decision trees for deriving imputed data concepts Ability to translate clinical and scientific research questions into data criteriaWorking knowledge of clinical controlled terminologies and value-sets like ICD, CPT, SNOMED-CT, LOINC, etc. Good understanding of health data standards for research like CDISC, 21 CFR Part 11, HIPAA, eSource principles for use of EHR data in regulatory decision making (FDA guidance)Experience with cloud infrastructure, tools and servicesComfort with ambiguity and ability to think creatively in order to test several hypotheses""Get it done"" mentalityGreat attention to detailBonusDeep understanding of clinical data elementsUnderstanding of drug development lifecycle and related data use casesUnderstanding of information security best practices as they relate to HIPAAShow moreShow less"
58,Data Scientist,Fifth Third Bank,"Make banking a Fifth Third better®We connect great people to great opportunities. Are you ready to take the next step? Discover a career in banking at Fifth Third Bank.General FunctionThe Data Scientist will perform data analysis, statistical analysis, and develop algorithms and methodologies on structured and unstructured data for on-demand and software-embedded use. Manage key analyses to drive more profitable business decisions. Focus on providing value-added analysis and recommendations to support business growth.Responsible and accountable for risk by openly exchanging ideas and opinions, elevating concerns, and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues, and ensures that actions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite, achieves results by consistently identifying, assessing, managing, monitoring, and reporting risks of all types.Essential Duties And ResponsibilitiesBuild large and complex information sets; Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.Develop and manage and develop analyses and algorithms that generate actionable insights and programs to improve long-term revenue and relevance.Partner with key stakeholders to understand the underlying needs of the business and formulate, communicate and create buy-in for analytics approaches and solutions.Effective communicate and translate business strategy and goals into manageable problems with well-defined measurable objectives and outcomes.Transform formulated problems into implementations plans for experiments by developing data sources, applying/creating the appropriate methods, algorithms, and tools, as well as delivering statistically valid and reliable results.Ad hoc reporting and analytics to support requests from the Bank's various lines of business.Provides input into the creation of detailed project plans, work assignments, target dates and other aspects of assigned projects.Minimum Knowledge, Skills And Abilities RequiredBachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field. Advanced degrees preferred, but not required.Typically requires minimum of 4-5 years' work experience.Database and analytical experience required.Excellent written and oral communications skills.Ability to effectively manage time.Independent and highly self-motivated.Ability to communicate effectively.Strong PC skills including Microsoft Office (Word, Excel, Access, PowerPoint).Data ScientistLOCATION -- Cincinnati, Ohio 45202Fifth Third Bank, National Association is proud to have an engaged and inclusive culture and to promote and ensure equal employment opportunity in all employment decisions regardless of race, color, gender, national origin, religion, age, disability, sexual orientation, gender identity, military status, veteran status or any other legally protected status.Show moreShow less"
59,Insights Analyst,PepsiCo,"OverviewPosition can be fully remote, but individual must be 90 miles from office location in Mason, OH, Chicago, IL, Plano, TX, or Purchase, NYThis position is a critical part of PepsiCo’s newly formed KAGR team (Kroger Analytics & Growth Resource). The KAGR team will drive incremental, consistent, and sustainable growth to PepsiCo and Kroger leveraging the power of our data, science, and intellect in support of JBP (Joint Business Planning) delivery and uncovering future demand terrains.This individual will support the PepsiCo Kroger business agenda by maximizing data assets and leveraging that information to deliver solutions for driving actionable insights for the business. Key responsibilities include shopper insights analyses across the entire PepsiCo portfolio using data from PepsiCo, Kroger, & 8451.ResponsibilitiesActively contribute to Pyspark and SQL projects to investigate consumer behavior and industrial trends by leveraging transactional level data from 84.51.Empower the business by creating value through the increased adoption of data, data science and business intelligence landscape.Support large-scale experimentation done by data scientists.Create and maintain Power BI dashboards to share team outputsWork with cross-functional stakeholders to create, modify, and execute code to deliver against ad hoc projects.Create and maintain technical documentation for learnings and knowledge transfer.QualificationsBachelor’s Degree in technical field required, unless 2-3 years of on-the-job experienceExperience with analyzing and interpreting data to identify opportunities, issues, or trends to drive improvement of results and find solutions.1-2 years of experience with Data Analytics tools and Data Warehousing1-2 years of experience in SQL optimization and development in programming languages like Python, PySpark, Scala etc.Experience in Azure cloud suite products like DataBricks is a plusExperience creating dashboards in Power BI or Tableau preferredExperience with point of sale or scanner panel preferredExperience in processing of large data sets preferredAbility to understand and translate business requirements into data and technical requirements.Self-motivation to learn and grow technical skillsNote : Covid-19 vaccination may be a condition of employment dependent on role and location. For specific information, please discuss role requirements with the recruiter.EEO StatementAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender IdentityIf you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy.Please view our Pay Transparency StatementShow moreShow less"
